02,09-12-202202:25:06,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUtemperature,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,09-12-202202:28:06,67.000,54.000,1980.000,9701.998,261.377,71.000,11.992,14744.000,78.900,14.553,52.400,0.200
80,09-12-202202:28:07,67.000,57.000,1980.000,9701.998,270.515,73.000,12.061,14744.000,76.800,16.012,52.400,0.200
80,09-12-202202:28:08,67.000,56.000,1980.000,9701.998,273.636,74.000,12.804,14739.000,76.500,16.801,52.400,0.200
80,09-12-202202:28:09,66.000,58.000,1980.000,9701.998,263.477,73.000,11.987,14743.000,73.300,16.178,52.400,0.200
80,09-12-202202:28:10,66.000,57.000,1980.000,9701.998,269.530,84.000,12.025,14749.000,74.800,16.563,52.400,0.200
80,09-12-202202:28:11,66.000,57.000,1980.000,9701.998,272.905,73.000,13.947,14726.000,75.300,15.738,52.400,0.200
80,09-12-202202:28:12,67.000,57.000,1980.000,9701.998,274.247,76.000,12.837,14685.000,77.400,17.531,52.400,0.200
80,09-12-202202:28:13,67.000,57.000,1980.000,9701.998,267.022,74.000,12.185,14681.000,76.800,15.914,52.400,0.200
80,09-12-202202:28:14,67.000,57.000,1980.000,9701.998,267.624,77.000,11.997,14693.000,77.300,15.132,52.400,0.200
80,09-12-202202:28:15,67.000,55.000,1980.000,9701.998,267.545,72.000,13.205,14690.000,78.900,15.512,52.400,0.200
80,09-12-202202:28:16,67.000,60.000,1980.000,9701.998,276.993,69.000,12.001,14682.000,78.900,16.253,52.400,0.200
80,09-12-202202:28:17,67.000,58.000,1980.000,9701.998,264.352,70.000,11.651,14681.000,77.300,17.766,52.400,0.200
80,09-12-202202:28:18,67.000,56.000,1980.000,9701.998,265.896,85.000,18.101,14709.000,76.400,16.225,52.500,0.200
80,09-12-202202:28:19,67.000,59.000,1980.000,9701.998,279.232,74.000,22.815,14709.000,75.100,36.408,52.400,0.200
80,09-12-202202:28:20,67.000,61.000,1980.000,9701.998,287.245,73.000,11.784,14683.000,82.900,14.476,52.400,0.200
80,09-12-202202:28:21,67.000,60.000,1980.000,9701.998,284.243,68.000,12.355,14691.000,81.700,15.818,52.400,0.200
80,09-12-202202:28:22,67.000,60.000,1980.000,9701.998,285.674,70.000,11.907,14689.000,82.000,13.785,52.500,0.200
80,09-12-202202:28:23,67.000,61.000,1980.000,9701.998,282.193,69.000,10.923,14688.000,81.600,13.735,52.500,0.200
80,09-12-202202:28:24,67.000,57.000,1980.000,9701.998,285.473,73.000,11.600,14693.000,80.000,16.185,52.500,0.200
80,09-12-202202:28:25,67.000,63.000,1980.000,9701.998,279.148,70.000,11.871,14691.000,81.500,14.984,52.500,0.200
80,09-12-202202:28:26,68.000,59.000,1980.000,9701.998,281.212,69.000,11.371,14684.000,82.100,16.396,52.500,0.200
80,09-12-202202:28:27,68.000,61.000,1980.000,9701.998,278.262,71.000,12.042,14695.000,82.100,15.181,52.500,0.200
80,09-12-202202:28:28,68.000,60.000,1980.000,9701.998,288.180,73.000,11.530,14687.000,83.400,13.559,52.500,0.200
80,09-12-202202:28:29,67.000,59.000,1980.000,9701.998,281.293,75.000,13.151,14680.000,81.700,14.731,52.500,0.200
80,09-12-202202:28:30,67.000,62.000,1980.000,9701.998,282.590,70.000,11.168,14677.000,82.900,14.468,52.500,0.200
80,09-12-202202:28:31,68.000,61.000,1980.000,9701.998,293.533,85.000,11.505,14675.000,83.400,13.558,52.500,0.200
80,09-12-202202:28:32,68.000,61.000,1980.000,9701.998,283.187,71.000,12.673,14683.000,81.600,16.331,52.500,0.200
80,09-12-202202:28:33,67.000,61.000,1980.000,9701.998,283.366,70.000,12.154,14684.000,82.000,14.818,52.500,0.200
80,09-12-202202:28:34,68.000,60.000,1980.000,9701.998,285.520,71.000,11.969,14683.000,82.100,14.893,52.500,0.200
80,09-12-202202:28:35,68.000,62.000,1980.000,9701.998,289.246,69.000,11.007,14684.000,83.800,15.045,52.500,0.200
80,09-12-202202:28:36,68.000,60.000,1980.000,9701.998,292.782,70.000,12.085,14682.000,82.400,13.839,52.500,0.200
