02,08-12-202212:33:05,GPU1temperature,GPU1usage,GPU1coreclock,GPU1memoryclock,GPU1power,CPUusage,RAMusage,Framerate,Frametime,Framerate1%Low,Framerate0.1%Low
80,08-12-202212:36:10,71.000,100.000,1935.000,9701.998,321.037,12.626,20940.000,100.600,11.314,84.300,0.600
80,08-12-202212:36:11,71.000,100.000,1935.000,9701.998,320.149,12.785,20935.000,103.100,10.450,84.300,0.600
80,08-12-202212:36:12,70.000,100.000,1935.000,9701.998,324.112,12.866,20935.000,103.600,11.193,84.300,0.600
80,08-12-202212:36:13,70.000,100.000,1935.000,9701.998,320.018,11.810,20941.000,102.900,10.775,84.300,0.600
80,08-12-202212:36:14,71.000,100.000,1950.000,9701.998,320.959,11.262,20941.000,102.500,11.060,84.300,0.600
80,08-12-202212:36:15,70.000,100.000,1935.000,9701.998,320.372,12.610,20941.000,102.400,11.087,84.300,0.600
80,08-12-202212:36:16,70.000,100.000,1950.000,9701.998,320.309,11.663,20941.000,103.100,10.843,84.300,0.600
80,08-12-202212:36:17,71.000,100.000,1950.000,9701.998,323.523,12.048,20942.000,103.600,10.668,84.300,0.600
80,08-12-202212:36:18,71.000,100.000,1935.000,9701.998,326.331,11.474,20939.000,103.100,10.900,84.300,0.600
80,08-12-202212:36:19,71.000,100.000,1950.000,9701.998,326.453,12.969,20942.000,102.900,10.641,84.300,0.600
80,08-12-202212:36:20,71.000,100.000,1950.000,9701.998,323.339,11.595,20942.000,103.600,10.533,84.300,0.600
80,08-12-202212:36:21,71.000,100.000,1950.000,9701.998,325.266,12.758,20942.000,103.500,10.596,84.300,0.600
80,08-12-202212:36:22,71.000,100.000,1950.000,9701.998,321.807,11.778,20940.000,103.600,10.722,84.300,0.600
80,08-12-202212:36:23,71.000,100.000,1935.000,9701.998,327.413,12.319,20942.000,103.300,10.773,84.300,0.600
80,08-12-202212:36:24,71.000,100.000,1950.000,9701.998,325.534,11.940,20943.000,103.500,10.990,84.300,0.600
80,08-12-202212:36:25,71.000,100.000,1950.000,9701.998,320.296,12.518,20943.000,103.800,10.917,84.300,0.600
80,08-12-202212:36:26,70.000,100.000,1935.000,9701.998,319.392,11.182,20942.000,103.500,11.104,84.300,0.600
80,08-12-202212:36:27,71.000,100.000,1950.000,9701.998,318.947,12.272,20943.000,103.500,10.605,84.300,0.600
80,08-12-202212:36:28,71.000,100.000,1950.000,9701.998,321.841,12.622,20943.000,103.900,12.274,84.300,0.600
80,08-12-202212:36:29,71.000,100.000,1950.000,9701.998,323.568,11.503,20946.000,104.100,10.703,84.300,1.200
80,08-12-202212:36:30,71.000,100.000,1950.000,9701.998,327.363,13.216,20945.000,103.900,10.620,84.300,1.200
80,08-12-202212:36:31,71.000,100.000,1935.000,9701.998,326.596,12.197,20946.000,103.600,10.620,84.300,1.200
80,08-12-202212:36:32,71.000,100.000,1935.000,9701.998,326.321,12.163,20946.000,103.900,10.735,84.300,1.200
80,08-12-202212:36:33,71.000,100.000,1950.000,9701.998,323.625,12.090,20946.000,104.900,10.502,84.300,1.200
80,08-12-202212:36:34,70.000,100.000,1920.000,9701.998,308.552,11.720,20945.000,104.000,10.516,84.300,1.200
